ID,Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
1.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
2.0,Hombre,Doctorado finalizado,En la última semana,En el último mes,Nunca,Nunca
3.0,Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
4.0,Mujer,Maestría finalizada,En el último mes,En la última semana,Nunca,Nunca
5.0,Mujer,Doctorado finalizado,En el último mes,En la última decada,Nunca,Nunca
6.0,Mujer,Dejó la escuela a los 18 años,En la última decada,Nunca,Nunca,Nunca
7.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
8.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
9.0,Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
10.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
11.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
12.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
13.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
14.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,Nunca,Nunca,Nunca
15.0,Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
16.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
17.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
18.0,Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
19.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
20.0,Hombre,Diploma/certificado profesional,En el último mes,Hace mas de una decada,Nunca,Nunca
21.0,Hombre,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
22.0,Hombre,Dejó la escuela antes de los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
23.0,Hombre,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
24.0,Hombre,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Hace mas de una decada
25.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
26.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Hace mas de una decada,Nunca,Nunca
27.0,Mujer,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Nunca,Nunca
28.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
29.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
30.0,Hombre,Doctorado finalizado,Nunca,Nunca,Nunca,Nunca
31.0,Hombre,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Hace mas de una decada
32.0,Mujer,Dejó la escuela a los 16 años,En el último año,Nunca,Nunca,Nunca
33.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
34.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
35.0,Hombre,Grado Universitario,En el último mes,En la última semana,Hace mas de una decada,Hace mas de una decada
36.0,Hombre,Dejó la escuela antes de los 16 años,En el último año,Nunca,Nunca,Nunca
37.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
38.0,Hombre,Dejó la escuela antes de los 16 años,Ayer,En la última decada,Nunca,Nunca
39.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
40.0,Mujer,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
41.0,Hombre,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
42.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
43.0,Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
44.0,Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
45.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
46.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
47.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Hace mas de una decada,Nunca,Nunca
48.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
49.0,Hombre,Dejó la escuela a los 16 años,Ayer,En el último año,Nunca,Nunca
50.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
51.0,Hombre,Maestría finalizada,Ayer,En la última decada,Nunca,Nunca
52.0,Hombre,Diploma/certificado profesional,En la última decada,En la última semana,Nunca,Nunca
53.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
54.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
55.0,Hombre,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Nunca
56.0,Mujer,Diploma/certificado profesional,En el último año,Nunca,Nunca,Nunca
57.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
58.0,Mujer,Grado Universitario,Hace mas de una decada,Nunca,Nunca,Nunca
59.0,Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,En la última semana,Hace mas de una decada
60.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
61.0,Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
62.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
63.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
64.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
